Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
1,LeBron James,27,MIA,85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,2012
2,Kevin Durant,23,OKC,24,889,1210,0.735,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,2012
3,Chris Paul,26,LAC,6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,2012
4,Kobe Bryant,33,LAL,2,352,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,2012
5,Tony Parker,29,SAS,4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177,2012
6,Kevin Love,23,MIN,0,58,1210,0.048,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223,2012
7,Dwight Howard,26,ORL,0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179,2012
8,Rajon Rondo,25,BOS,0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121,2012
9,Steve Nash,37,PHO,0,7,1210,0.006,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144,2012
10,Dwyane Wade,30,MIA,0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,2012
11,Derrick Rose,23,CHI,0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6,0.211,2012
12T,Dirk Nowitzki,33,DAL,0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175,2012
12T,Russell Westbrook,23,OKC,0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,2012
14,Tim Duncan,35,SAS,0,3,1210,0.002,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,5.9,0.174,2012
15,Joe Johnson,30,ATL,0,1,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145,2012
1,LeBron James,28,MIA,120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,2013
2,Kevin Durant,24,OKC,0,765,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,2013
3,Carmelo Anthony,28,NYK,1,475,1210,0.393,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2013
